,h,ecc,anomalia_verdadeira,raan,inc,arg_per,q0,q1,q2,q3,wx3,wy3,wz3,X_perifocal,Y_perifocal,Z_perifocal,distancia
14,52715.18235288119,0.0019366520762009265,0.054449992076470985,-1.7515746799011925e-06,1.108269729817942,0.10887488378576307,0.8475744442399986,0.042498336691757815,0.5244949807627179,0.06867654681892305,0.0,0.0,0.0010780070154523262,6947.858984046233,378.685182770842,0,6958.171234587586
15,52714.97550556017,0.0019280223544036771,0.05842792645103108,-2.1242027487215867e-06,1.1082677733715698,0.11578502877343051,0.847191964996481,0.04532475200763163,0.5242582954251239,0.07324398307362173,0.0,0.0,0.0010780070154523262,6946.305859090738,406.32072205841325,0,6958.17947578333
16,52714.75587553518,0.001918862151398402,0.06247589142669714,-2.545911638899717e-06,1.1082656960022688,0.1226250952256111,0.8467848727865144,0.048149850530324334,0.5240063791217406,0.07780929141425154,0.0,0.0,0.0010780070154523262,6944.612949186185,434.4362676578751,0,6958.188261656977
17,52714.52356723192,0.0019091764491861805,0.06659913256109744,-3.0196320460000375e-06,1.1082634986943645,0.12938983455888367,0.8463531794371074,0.05097355018392157,0.523739239171343,0.08237233920761283,0.0,0.0,0.0010780070154523262,6942.771948023894,463.06742845770805,0,6958.197594604937
18,52714.278691102256,0.001898970549898678,0.07080306579329795,-3.54827002571395e-06,1.1082611824890267,0.13607382781218166,0.845896897490358,0.0537957689331723,0.5234568833352166,0.08693299388621699,0.0,0.0,0.0010780070154523262,6940.7737570946965,492.2508994318149,0,6958.207477157163
19,52714.021363570566,0.0018882500795773926,0.0750932913099651,-4.134705619229487e-06,1.1082587484837683,0.1426714717808403,0.8454160402016224,0.05661642478578229,0.5231593198160247,0.09149112295199303,0.0,0.0,0.0010780070154523262,6938.608425650371,522.0245454243351,0,6958.217911975149
20,52713.75170697906,0.0018770209924340656,0.0794756081284385,-4.7817914828788195e-06,1.1082561978319392,0.1491769644337388,0.844910621541329,0.05943543579492896,0.5228465572589315,0.09604659398035137,0.0,0.0,0.0010780070154523262,6936.265084370018,552.4274883513779,0,6958.228901849724
21,52713.46984952853,0.001865289575473318,0.08395602948249287,-5.492351538478217e-06,1.1082535317421724,0.155584289527749,0.8443806561931071,0.06225272006155485,0.5225186047504418,0.10059927462388989,0.0,0.0,0.0010780070154523262,6933.731872125574,583.5001981964859,0,6958.240449698857
22,52713.17592521711,0.0018530624536413588,0.08854079905412898,-6.269179632207959e-06,1.1082507514778173,0.1618872003761583,0.8438261595540916,0.06506819573679622,0.5221754718185918,0.10514903261631862,0.0,0.0,0.0010780070154523262,6930.995855195164,615.2845878511886,0,6958.252558565243
23,52712.87007377565,0.0018403465954536103,0.09323640813597937,-7.115038213148566e-06,1.108247858356335,0.16807920268647647,0.8432471477330137,0.06788178102425164,0.5218171684317665,0.10969573577612575,0.0,0.0,0.0010780070154523262,6928.042938179973,647.8241121027002,0,6958.265231613915
